Implementation,Resource,Type,Unit,count,quantile_25,mean,median,quantile_75,std,min,max
Agroforestry,Arable land,Physical,ha/tCO2,12,0.03995278725,0.4507674440833333,0.06410128000000001,0.2141,0.901140274110988,0.0025,3.03030303
Bio-char,Electrical energy,Energy,MWh/tCO2,6,8.75e-05,0.1667833333333333,0.00035,0.3750875,0.2581085675964025,0.0,0.5
Bio-char,Forest biomass,Physical,t/tCO2,6,0.34,0.47283333333333327,0.37,0.55525,0.20162382465042825,0.33,0.82
Bio-char,Non-forest biomass,Physical,t/tCO2,8,1.142,1.291,1.3395000000000001,1.4885000000000002,0.332019792869556,0.818,1.667
Bio-char,Unspecified biomass,Physical,t/tCO2,48,0.94339623,1.924254525942129,1.20922073,2.522177213052725,1.9378239910641315,0.5,12.86
Bio-char,Unspecified land,Physical,ha/tCO2,4,0.05640158,0.16320079,0.16320079,0.27,0.12332110528547877,0.05640158,0.27
Bio-char,Unspecified water,Physical,Liters/tCO2,9,0.0,633.3333333333334,100.0,500.0,1376.5899897936204,-500.0,3000.0
BioCCS with anaerobic digestion/fermentation,Arable land,Physical,ha/tCO2,16,0.03793734775,0.100866767,0.058844191000000004,0.10303396649999999,0.11375772648817686,0.022803284,0.454545455
BioCCS with anaerobic digestion/fermentation,Non-forest biomass,Physical,t/tCO2,6,1.4285714285714,2.689964230684533,1.5617433414042998,2.1282742681047,2.6242499596696813,1.315,8.0
BioCCS with anaerobic digestion/fermentation,Unspecified biomass,Physical,t/tCO2,6,1.03357023,1.3793645466666666,1.14,1.785,0.4849128814150571,0.99809364,2.0
BioCCS with anaerobic digestion/fermentation,Unspecified water,Physical,Liters/tCO2,14,395454.5,569805.1428571428,565909.0,654545.5,183277.283077123,368182.0,913636.0
BioCCS with combustion,Arable land,Physical,ha/tCO2,32,0.038,0.20054008704125,0.058399844,0.09459459,0.4656596577374178,0.022803284,1.9451
BioCCS with combustion,Electrical energy,Energy,MWh/tCO2,18,0.0277777777777777,0.13097530864197526,0.101,0.1111111111111111,0.16241025701586306,0.0,0.5
BioCCS with combustion,Forest biomass,Physical,t/tCO2,8,0.5607638875000001,0.67548055375,0.59375,0.8386749975,0.14441914653695664,0.55555555,0.8547
BioCCS with combustion,Thermal energy,Energy,MWh/tCO2,22,0.3472222222222222,1.0062424242424242,0.9306111111111111,1.025,1.0524401441735463,0.0,4.0
BioCCS with combustion,Unspecified biomass,Physical,t/tCO2,8,0.9166666675,1.2641666675,1.14,1.625,0.5282247887342408,0.66666667,2.0
BioCCS with combustion,Unspecified chemical,Physical,t/tCO2,20,0.00027,4.044119,0.00316,0.016,8.287794157908491,0.00013,20.2
BioCCS with combustion,Unspecified water,Physical,Liters/tCO2,32,6475.0,312937.45634375,201625.2165,542045.5,343154.80918602005,630.0,1296342.17
"Coastal revegetation (mangrove, seaweeds…)",Non-arable land,Physical,ha/tCO2,11,0.043295020000000004,0.13201796181818182,0.12056618,0.19744896,0.11706388563455744,0.0078,0.32828863
Cropland management,Arable land,Physical,ha/tCO2,14,0.27061989000000003,1.2779463596825358,0.42063492277774994,1.05233487,2.3297794467976978,0.08264463,9.0
Durable biobased products,Electrical energy,Energy,MWh/tCO2,2,4.0,4.0,4.0,4.0,0.0,4.0,4.0
Durable biobased products,Non-arable land,Physical,ha/tCO2,2,6.0,6.0,6.0,6.0,0.0,6.0,6.0
Durable biobased products,Unspecified biomass,Physical,t/tCO2,6,1.2678571425,2.6071428566666666,3.57142857,3.8928571425,1.8426633339173129,0.0,4.0
Durable biobased products,Unspecified water,Physical,Liters/tCO2,2,200.0,300.0,300.0,400.0,282.842712474619,100.0,500.0
Electrochemical DACCS,Electrical energy,Energy,MWh/tCO2,10,0.33333333335000004,2.0320806,0.784125,2.75,2.3788325030763033,0.252556,6.2222222222
Electrochemical DACCS,Non-arable land,Physical,ha/tCO2,14,0.00027248,0.0026615877837057145,0.000323748514,0.000880697128935,0.005656829998005935,0.0002225771032,0.016
Electrochemical DACCS,Unspecified water,Physical,Liters/tCO2,6,2000.0,11000.0,5000.0,21500.0,12521.980673998822,1000.0,27000.0
Electrochemical OAE,Electrical energy,Energy,MWh/tCO2,8,1.6,2.24125,2.15,2.5,1.2835935883292655,0.83,5.0
Electrochemical OAE,Non-arable land,Physical,ha/tCO2,2,0.00086,0.00101,0.00101,0.00116,0.00042426406871192844,0.00071,0.00131
Electrochemical OAE,Shoreline,Physical,km/tCO2,2,1.2e-08,1.2e-08,1.2e-08,1.2e-08,0.0,1.2e-08,1.2e-08
Electrochemical OAE,Unspecified mineral,Physical,t/tCO2,4,2.4,2.95,2.95,3.5,0.6350852961085884,2.4,3.5
Enhanced weathering,Arable land,Physical,ha/tCO2,28,0.12875,0.548973515,0.25,0.5,0.7099161244217219,1e-06,2.5
Enhanced weathering,Basalt mineral,Physical,t/tCO2,25,3.33,5.773041804595108,4.3,5.3,4.967901225163679,1.0,19.0
